185.242.106.162:2053#LV 128ms
5.144.182.111:2053#GB 128ms
92.222.22.40:2053#FR 129ms
185.237.218.134:2053#LV 129ms
37.128.206.80:2053#LV 129ms
141.94.222.105:2053#FR 130ms
91.197.0.206:2053#LV 131ms
162.19.254.49:2053#FR 131ms
132.226.163.224:2053#BR 131ms
93.183.90.218:2053#NL 132ms
212.113.100.146:2053#SE 133ms
104.234.50.11:2053#US 134ms
89.110.113.56:2053#NL 134ms
103.45.245.208:2053#ES 134ms
141.98.169.81:2053#FI 134ms
195.135.252.36:2053#LV 135ms
194.76.173.245:2053#DE 135ms
167.99.140.246:2053#DE 135ms
94.131.100.123:2053#FI 135ms
89.110.103.15:2053#NL 136ms
91.149.253.213:2053#PL 136ms
194.87.148.148:2053#DE 136ms
195.200.16.40:2053#NL 137ms
166.1.22.116:2053#NL 137ms
23.164.240.213:2053#FI 137ms
141.94.220.21:2053#FR 137ms
89.22.232.153:2053#SE 137ms
176.105.253.102:2053#PL 138ms
5.34.211.194:2053#LV 138ms
94.159.98.23:2053#DE 138ms
91.194.160.121:2053#JP 139ms
51.195.42.9:2053#FR 139ms
5.34.209.105:2053#LV 139ms
5.34.211.87:2053#LV 139ms
137.184.168.222:2053#CA 140ms
194.36.179.17:2053#SG 140ms
104.234.50.19:2053#US 140ms
192.99.252.243:2053#CA 141ms
51.178.37.179:2053#FR 141ms
146.185.153.221:2053#NL 142ms
194.55.235.11:2053#RU 142ms
91.197.3.168:2053#LV 142ms
5.144.182.79:2053#GB 143ms
141.94.68.216:2053#FR 144ms
156.255.90.175:2053#HK 145ms
191.96.153.217:2053#FR 145ms
138.68.71.73:2053#DE 145ms
193.124.41.165:2053#PL 146ms
185.209.49.17:2053#AE 147ms
89.110.64.180:2053#NL 148ms
164.92.157.131:2053#NL 149ms
194.36.178.36:2053#SG 149ms
104.234.50.97:2053#US 149ms
89.110.119.70:2053#NL 149ms
51.91.103.142:2053#FR 151ms
194.36.179.5:2053#SG 151ms
46.32.185.253:2053#LV 152ms
5.34.209.18:2053#LV 152ms
5.34.210.151:2053#LV 152ms
23.164.240.143:2053#FI 152ms
66.151.34.227:2053#FI 153ms
185.103.252.54:2053#DE 153ms
86.110.56.154:2053#PL 153ms
176.97.78.80:2053#AE 153ms
195.135.252.148:2053#LV 155ms
5.35.47.69:2053#NL 155ms
85.209.195.61:2053#DE 156ms
31.220.42.149:2053#NL 156ms
104.234.50.158:2053#US 156ms
65.109.201.6:2053#FI 157ms
195.200.19.246:2053#NL 159ms
191.96.153.171:2053#FR 159ms
3.73.6.186:2053#DE 160ms
178.32.42.230:2053#FR 160ms
95.217.195.186:2053#FI 160ms
193.17.183.29:2053#US 160ms
103.231.75.238:2053#TR 161ms
95.164.116.218:2053#TR 161ms
135.125.232.253:2053#FR 162ms
51.38.224.25:2053#FR 163ms
94.131.100.136:2053#FI 163ms
5.34.208.44:2053#LV 163ms
86.110.56.129:2053#PL 164ms
91.197.1.113:2053#LV 165ms
89.110.104.252:2053#NL 165ms
138.68.141.220:2053#GB 166ms
94.131.100.225:2053#FI 166ms
51.38.225.63:2053#FR 166ms
104.239.87.213:2053#TR 167ms
31.59.121.184:2053#AE 167ms
31.57.63.69:2053#AE 168ms
194.87.55.169:2053#DE 169ms
31.129.42.100:2053#RU 170ms
31.59.121.188:2053#AE 170ms
94.242.53.158:2053#RU 170ms
